polygon, area (pxl), area (polygon), perimeter (pxl), perimeter (polygon), circularity
0,2978, 2940, 276, 97310.6, 0.491266
1,2995, 2986.5, 298, 97541.1, 0.423813
2,2802, 2765, 270, 97752.7, 0.483004
3,2861, 2813, 276, 97966.8, 0.471965
4,2556, 2568, 270, 98184, 0.440599
5,3165, 3119.5, 290, 98412.1, 0.47292
6,3062, 3041, 296, 98638.4, 0.439169
7,3167, 3143, 300, 98868.4, 0.442197
8,2612, 2613, 261, 99076.2, 0.481839
9,2524, 2490, 280, 99296.2, 0.40456
10,2978, 2956.5, 266, 99518.7, 0.528897
11,2901, 2877.5, 277, 99735.1, 0.475114
12,2639, 2639, 270, 99947.7, 0.454906
13,3337, 3279.5, 288, 100185, 0.50557
14,2427, 2389.5, 258, 100387, 0.458184
15,2692, 2687.5, 260, 100601, 0.500424
16,2761, 2729.5, 294, 100827, 0.401404
17,3417, 3378.5, 292, 101064, 0.503604
18,1575, 1554, 193, 101216, 0.531344
19,2424, 2388, 238, 101421, 0.53776
20,2600, 2555, 266, 101631, 0.461764
21,1170, 1150, 153, 101758, 0.628077
22,3022, 2998.5, 286, 101980, 0.464272
23,2060, 2039.5, 238, 102164, 0.457007
24,2482, 2484.5, 256, 102370, 0.475918
25,2828, 2813, 283, 102588, 0.443728
26,2594, 2565.5, 280, 102804, 0.41578
27,2708, 2676, 250, 103016, 0.544476
28,2482, 2462.5, 278, 103230, 0.403573
29,2984, 2972, 274, 103451, 0.499468
30,2704, 2668, 258, 103672, 0.510478
31,1141, 1139, 156, 103797, 0.589178
32,3049, 3033.5, 294, 104023, 0.443274
33,3037, 2992, 274, 104248, 0.508339
34,2947, 2944, 285, 104472, 0.455932
35,2670, 2684, 282, 104695, 0.421913
36,2599, 2583.5, 276, 104909, 0.428744
37,3189, 3150.5, 288, 105141, 0.483147
38,2813, 2813.5, 297, 105370, 0.400744
39,2462, 2435.5, 268, 105574, 0.430753
40,3342, 3295, 296, 105812, 0.479328
41,2869, 2846.5, 288, 106036, 0.434666
42,3063, 3045, 296, 106263, 0.439312
43,1311, 1285, 185, 106403, 0.481359
44,926, 907.5, 138, 106515, 0.61103
45,2472, 2439.5, 268, 106721, 0.432503
46,3162, 3165, 287, 106951, 0.482401
47,3349, 3320.5, 312, 107189, 0.43233
48,1064, 1044, 146, 107310, 0.627257
49,2920, 2880.5, 276, 107532, 0.481698
50,3242, 3209.5, 292, 107760, 0.477812
51,3402, 3361, 278, 107997, 0.553165
52,3035, 3040.5, 272, 108220, 0.515502
53,2372, 2343.5, 242, 108412, 0.508972
54,2991, 2975, 296, 108639, 0.428986
55,2708, 2703, 286, 108857, 0.416032
56,2392, 2346.5, 248, 109055, 0.488729
57,2689, 2701, 260, 109268, 0.499866
58,921, 908, 154, 109386, 0.488009
59,2955, 2948, 288, 109611, 0.447695
60,3033, 3034.5, 282, 109839, 0.479274
61,2377, 2373, 264, 110042, 0.428579
62,2694, 2627.5, 299, 110276, 0.378674
63,2891, 2845, 286, 110502, 0.444146
64,2966, 2970, 260, 110722, 0.551359
65,3098, 3070.5, 270, 110950, 0.534028
66,3173, 3179.5, 287, 111178, 0.484079
67,2990, 2948.5, 284, 111403, 0.465848
68,2767, 2733.5, 293, 111631, 0.405027
69,3015, 2971, 268, 111856, 0.527506
70,3114, 3096, 272, 112084, 0.528921
71,2862, 2836.5, 280, 112303, 0.458737
72,1809, 1764, 222, 112482, 0.461256
73,2917, 2913.5, 271, 112700, 0.499123
74,2854, 2838, 259, 112914, 0.534644
75,3318, 3264, 302, 113152, 0.457164
76,3004, 2997.5, 290, 113377, 0.448863
77,2388, 2360, 255, 113574, 0.461492
78,3080, 3081, 331, 113822, 0.353268
79,2965, 2937.5, 288, 114044, 0.44921
80,3097, 3072, 274, 114269, 0.518382
81,2666, 2633.5, 278, 114483, 0.433491
82,2951, 2900, 282, 114708, 0.466317
83,2441, 2446, 264, 114919, 0.440119
84,3128, 3158, 340, 115181, 0.340031
85,2820, 2800, 263, 115405, 0.512327
86,2581, 2572, 272, 115615, 0.438389
87,3047, 3037.5, 282, 115840, 0.481486
88,2427, 2415, 248, 116048, 0.49588
89,2830, 2800.5, 258, 116260, 0.534265
90,2886, 2865, 274, 116474, 0.483064
91,2365, 2326, 280, 116689, 0.379075
92,3187, 3194, 294, 116923, 0.463337
93,3017, 2982, 272, 117148, 0.512445
94,2436, 2422.5, 276, 117359, 0.401855
95,3020, 2986, 304, 117591, 0.410648
96,2146, 2145.5, 233, 117786, 0.496738
97,2819, 2789.5, 254, 118000, 0.549082
98,3189, 3148, 300, 118231, 0.445268
99,2828, 2778, 268, 118447, 0.494789
100,3018, 2993, 287, 118672, 0.460432
101,2526, 2507.5, 276, 118882, 0.416701
102,1786, 1748, 202, 119043, 0.550033
103,1421, 1405.5, 193, 119193, 0.47939
104,3135, 3119.5, 269, 119419, 0.544431
105,2707, 2707.5, 272, 119633, 0.459791
106,2232, 2217.5, 246, 119839, 0.463483
107,3013, 2996.5, 288, 120062, 0.456482
108,2949, 2937, 268, 120285, 0.515959
109,2443, 2459.5, 289, 120514, 0.367568
110,2262, 2238.5, 274, 120726, 0.378618
111,2392, 2392.5, 256, 120935, 0.45866
